,Title,email,KeyWords,Abstract,domain
10,Reducing Energy Consumption in Military Residential Homes,,,"The genesis for residential energy analysis is simple - West Point and nearly every other military installation need better assessment methods to rate the energy efficiency of its residential buildings.  Modeling the energy consumption of these residential homes is critical in determining the most economic energy upgrades with short payback periods. These energy models also allow improvements to be made on the current utility billing program, which incentivizes residents in military housing to reduce their energy consumption.  This presentation uses West Points residential homes as a case study to show a systematic approach that can be used to move towards large reductions in annual energy bills.  West Point is using the process of modeling the energy fitness levels of their homes for energy assessments, economic energy upgrade selection, quality assurance, and creative utility billing incentives for people who do not pay for their own energy usage. Ideally, the systematic process prototyped in this case study will be used by installations around the military, resulting in a significant amount of savings.",
11,Towards a Comprehensive Impact Assessment Model: Power Outage ,,,"The electricity grid is one of sixteen critical infrastructure systems designated by the United States Department of Homeland Security. Grid reliability and resilience are vital to security. However, the impact of large scale power outages is often limited to short term economic impacts. There is little identification, or synthesis of factors that determine impact severity. There is a need for a more complete impact assessment model that, allows assessment of economic and social impacts of power outages beyond the event. This paper presents a review of the literature in the area of power outages and synthesizes relevant information for the development of a preliminary power outage impact assessment model. A comprehensive impact assessment model can provide decision support information for prevention of, or impact reduction during, power system failures.",
12,An Implementation of Lean Principles to the Loan Closing Process in California ,,,"In todays dynamic business environment, being competitive and eliminating waste can make a difference between success and failure. One of the ways in which a reduction of waste can be achieved is by implementing lean principles. This can be done in both manufacturing as well as in the service industry. Real estate sales in CA totaled about $173 Billion in 2014 and is expected to be around $193 Billion in 2015. The majority of real estate sales, involves the buyer taking a mortgage which is paid over a period of 15, 20 or 30 years.  A mortgage loan, also referred to as a mortgage, is used by real estate buyers to raise money to buy the property to be purchased or by existing property owners to raise funds for any purpose. The loan is ""secured"" on the borrower's property. Thus obtaining the loan is a significant step in the real estate transaction going through successfully.   The Loan Closing Process is the final step in obtaining the loan in order for the real estate transaction to go through successfully. However, there is significant room for improvement in the loan closing process. In this paper, the authors have talked about the loan closing process, identified value added and non-value added steps as well as made recommendations on how the loan closing process can be improved in California.",
13,Integrating Lean Management to Breast Cancer Center: Case Study in Turkey ,,,"In recent years the financial crisis has forced all the private and public companies to reduce costs as long as most of them had to lay off  many workers, or eventually dismiss them. Lean is a learning system which encourages staff to perform better in technical operation which in turn, increases process performance; so, it improves safety, quality and staff morale reducing costs, all at the same time, revealing new opportunities to improve effectiveness.  This paper focuses initially on a general description on the most adopted lean tools and practices, and the transformation process, through a systematic literature review and analysis of the various waste in the system, followed by a research on the most successful lean implementations in hospitals. Subsequently, a deeper analysis in the Health Care system in Turkey: Lean Thinking has been studied in the Breast Cancer Center of Istanbul. An initial map of the current patient flow situation was drawn, with the process view where the care is seen as the outcome of a sequential series of steps, from the initial registration of the patient to the discharge. Through the application of some Lean tools, adapted from the Manufacturing to the Health Care system, little but consistent changes are proposed, aiming to minimize the waiting time of the patient, improve safety and reduce the congestion of the bottlenecks of the process, such as operating rooms or specific machineries.  ",
14,State-of-the-Art Review of Lean Product Development Practices and Their Impact on Project Success ,,,"The literature identifies numerous factors that impact the success of traditional product development projects. However, within the relatively nascent field of lean product development (LPD), product development success factors are less clear. The literature has primarily focused on developing and describing LPD practices, benefits, and methodologies, but there is a need for an understanding of how these practices impact project success. This paper provides a state-of-the-art matrix analysis of the past 30 years of literature to identify common LPD practices. Additionally, the paper maps LPD success factors to traditional product development success factors to develop further understanding of the benefits of LPD. The findings are useful for researchers and industry professionals employing LPD to improve project success.",
15,Impact of Organization Structure in A Value-Based Systems Engineering Framework ,,,"The design of Large-Scale Complex Engineered Systems (LSCESs), in a System Engineering (SE) framework, generally requires multiple organizations, each with numerous teams that must interact to realize the system. The organizational structures ultimately dictate the nature of the interactions that enable this realization and therefore significantly impact the final system design. The authors recent research using Value-Drive Design (VDD) and Multidisciplinary Design Optimization (MDO) has demonstrated the potential of a preference-driven SE approach that captures critical physical and modeling interactions. This research recently added Organization Design (OD) elements to demonstrate the additional impact of individual and team interactions on the final system. In this paper, critical organization attributes associated with specialization and coordination will be added to the more traditional product-based VDD attributes (e.g. performance, revenue, product cost, etc.). A commercial satellite system (satellite, launch vehicle, and ground station) will be used as a test-bed. The goal of this paper will be to include both product and process attributes in a VDD formulation. We will demonstrate that incorporating costs associated with both coordination and specialization tasks in the value function will result in vastly different final systems than an approach that does not include these OD attributes. Additionally, the proposed paper will investigate the impacts on system value due to change in organization structure when uncertainties are present in the information being passed between teams. The main idea is to identify the impact of organization structures on the design of LSCESs in order to improve the SE process. ",
16,"The Use of Multiple Project Managment Strategies, Project Type Tracks, Scaffolding and Websites in a Large and Multi-Disciplinary Capstone Design Course ",,,"Management of multiple concurrent projects in academic settings requires a special management structure. In this paper, the authors present the methodology used to manage the Capstone Design course at the School of Mechanical, Industrial and Manufacturing Engineering at Oregon State University. The course runs with a large multidisciplinary environment and a wide variety of projects. The class is divided into two sections: general and the SAE competition section. The focus of this paper is the general section where at least 40 different capstone projects are run in a given academic year, with projects ranging between industry-based, research-based, and student competition-based. These models include the design of both products and processes. To manage such a large, multi-disciplinary course, and to ensure that course expectations are communicated clearly to students, the three management strategies are employed: (1) standardized tracks to accommodate three distinctly different project types  product, process and student competition; (2) a milestone-based project completion process; and (3) a custom-built web-based tool that facilitates communication and information flow between team members, project advisors and sponsors, and course instructors. In this paper, the authors will describe and explain these multiple project management strategies to accommodate varied and multi-disciplinary projects in one course.  The paper has the purpose to initiate a discussion on how to incorporate engineering management techniques into Capstone design courses, learn from those experiences, and then bring the lessons learned into professional settings.",
17,A Novel Approach to Measure Development in Complex Socio-Economic Systems: Application to the Development of SMEs,,,"Socio-economic systems are complex systems involving society and are comprised of individuals and nations, large Multi-National Companies (MNCs), Small and Medium-sized Enterprises (SMEs), and governments. Each of these entities within the socio-economic framework interacts with each other. Each of these entities is also affected by other factors. In todays world, some of the most pressing factors for MNCs, SMEs, and governments are the increasing impact of internationalization; practice of lean management for competitive advantage; necessity to be economically, socially, and environmentally sustainable; and changes in government and corporate policy due to evolution of technology and societal expectations. These factors can prove to be advantageous or disadvantageous, depending on how each factor interacts and affect the development of each of the entities. For this reason, these interactions may be considered through the lens of a fluid mechanics system. The interactions may cause congruence or turbulence, where congruence positively reinforces the system. Quantifying and predicting the amount of congruence or turbulence will help in measuring the development of each of these systems. This paper will introduce a basic framework for quantifying development and apply it specifically to the case of SMEs.",
18,Collaboration in Integrated Project Delivery: The effect of trust based on the perspective of social capital ,,,"In Integrated project delivery (IPD), collaboration is the key criterial to measure its success and it is influenced by partners trust. Thus, this study aims to explore the relationship between trust and collaboration. In order to quantify trust mechanism, we adopt a novel perspective---social capital. From this perspective, we divide trust into four dimensions---performance, permeability, relationship bonding and system-based trust. With data collected from questionnaires that were sent to scholars and firms managers, the relationship is tested and verified by structural equation model. This result indicates that trust is positive associated with collaboration. The finding of this study perfects collaboration theory and provides suggestion for IPD project management practice.",
19,Balancing the Global View with the Relevant Few in Project Management ,,,"The current environment is characterized by projects of growing complexity. In general, there are more stakeholders to be considered, and they do not necessarily have more requirements, but their requirements are definitely more demanding. The project goals need to be achieved with frequently limited resources, whether human, material and/or financial. This poses a formidable challenge to project managers, who need to have the global view, that is, to understand what is to be achieved, and how. But having such holistic view is far from being sufficient. It is also necessary for the project manager to know what the relevant few aspects are. The typical project planning techniques, such as Gantt charts and PERT or CPM diagrams, focus excessively on time and/or on task sequencing, giving the project manager very little visibility of many critical issues required for an effective and efficient management of the project. This paper shows how the tasks in the project Work Breakdown Structure should be scrutinized, at the beginning of a project, in order to identify which ones are those relevant few, from five key perspectives: performance; cost; required and available assets; external dependencies; and demanded skills. The identification of these five subsets of relevant few tasks, among which there could be significant overlaps, will help the project manager achieve the goals in an effective and efficient manner. Balancing the global view and the relevant few allows the managing of projects with a systems approach. ",
20,"Standards, Bodies of Knowledge, and Certifications in Engineering Management, Project Management, and Systems Engineering",,,"Standards, Bodies of Knowledge, and Certifications help define a profession and delineate its boundaries. They can be observed in many traditional professions such as accounting, engineering, law, and medicine. Standards are the foundations on which certifications are built. They identify the current body of knowledge, in which professionals need to demonstrate mastery to achieve the relevant certification. The project management profession has been very active in developing and updating its standards and Body of Knowledge since the 1970s. A great deal of convergence and leadership have emerged and the number of professionals certified by the Project Management Institute (PMI)® and others has soared dramatically since the 1980s. Engineering Management standards have been developed by the American Society for Engineering Management (ASEM)® and others and have led to certifications in Engineering Management. A recent review in the Engineering Management Journal by Remer and Ross (2014) focused on certifications in Engineering Management and Project Management. We extend this analysis to include the allied field of Systems Engineering. The development of Systems Engineering standards have been progressing at a more divergent, gradual pace and there has been less agreement on its body of knowledge. The International Council on Systems Engineering (INCOSE)® has developed a Systems Engineering Handbook and multi-level certifications. We compare the progress in standards and certifications in these professions and describe the experiences in the project management profession. We suggest promising practices for enhancing standards and certifications in Systems Engineering and Engineering Management, with the objective of strengthening all three professions.",
21,Integrating Emotional Intelligence into Engineering Management,,,"Numerous initiatives, including President Obamas proposed 2015 budget, have led to an increase in P-12 Science, Technology, Engineering and Math (STEM) programs.  Projected increased percentages of STEM jobs have increased STEM programs in secondary education.  Students enrolled in P-12 STEM programs typically select STEM programs for their secondary education.  Recent research indicates a higher occurrence of individuals diagnosed with Autism Spectrum Disorders (ASD) in STEM programs versus traditional P-12 and secondary education programs.  One criteria for diagnosing ASD is persistent deficits in social communication and social interaction across multiple contexts.  Overwhelmingly, students with ASDs enrolled in STEM programs fall in the Level 1 category, previously referred to as high-functioning autism or Aspergers.  The lack of appropriate social skills, or Emotional Intelligence (EI), is a hallmark of individuals on this end of the autism spectrum.  This lack of EI is frequently an impediment to effective engineering management.  EI includes a wide range of skills such as leadership, management, motivation, empathy and effective communication.  EI is not a substitute for, but rather an enhancer of technical skills and employment opportunities.  This presentation will discuss how EI should be woven into all graduate level Engineering Management courses.  Some basic recommendations will be made in this presentation as to how EI skills can be effectively incorporated into college Engineering Management curricula.  Implementation of these recommendations would empower those autistic students - as well as all other STEM students who would benefit from the same leadership skill sets the EI would provide them.",
22,A Model for the Evaluation of Environmental Impact Indicators for a Sustainable Maritime Transportation System,,,"Although shipping is the most efficient mean for transporting large quantities of freight over significant distances and at low costs, it is also responsible for the emission of 1 billion tons of CO2 each year, along with other environmental and societal impacts. According to the International Maritime Organization (IMO), shipping accounted for 3.3 per cent of global emissions in 2007, and it is estimated that these emissions will increase 200-300 per cent by 2050. Despite the evidence that environmental impacts are a concern with maritime transportation systems (MTS), there are no models that take a system view to evaluate the environmental aspect of sustainability. The current literature identifies the key environmental impact indicators that exist within the transportation system and models maritime capacity, but largely ignores sustainability. This paper develops a model that will quantify the environmental impact indicators and understand the interdependencies between the various elements within the MTS. The model will provide environmental policy-makers with an analytical tool that can help them evaluate the tradeoffs of the system and identify possible alternatives to mitigate the detrimental effects of these environmental impact indicators.",
23,A Conceptual Risk Tool for Analysis of Climate Change Impacts on an Island Nations Critical Infrastructure ,,,"Predicting the Worlds future natural hazards from climate change may seem impossible, but it has gained a lot of effort and attention. Forecasting the scale and risk of critical infrastructure damage from potential natural hazards, resulting from climate change, is a critical undertaking. This paper is a continuation of our research which seeks to adopt the framework of the World Risk Index Report to the Philippines. According to the 2014 World Risk Index Report, the Philippines has moved up in rankings from the third most at risk nation to the second most at risk nation of being a victim of an extreme natural disaster. This paper will be the support matter to develop a conceptual tool that could support and improve decision making. The conceptual tool will adopt the frame work of the World Risk Index Reports scoring entities using simulated inputs specific to the regions of the Philippines and will yield calculated outputs for critical infrastructure decisions. These outputs for decision making could influence: improved contingency planning, micro-insurance coverage, current infrastructure re-evaluation, future infrastructure development, and resource allocation that incorporates risk interdependencies between the regions of the Philippines. The ultimate vision of the conceptual tool would be to gain support and awareness for future studies of real data gatherings for practical use and planning.",
24,Application of Lean Six Sigma Process Improvement at Tobyhanna Army Depot ,,,"One of the missions conducted at Tobyhanna Army Depot (TYAD) in support of the DoD Command, Control, Communications, Computers, Intelligence, Surveillance and Reconnaissance (C4ISR) mission is Mobile Depot Maintenance (MDM), which involves deploying MDM teams of personnel to various military posts all over the world to maintain stores of C4ISR equipment. TYAD was encountering significant problems in its process for shipping benchstock and hazardous material (HAZMAT) items to its teams worldwide. These shipments, which were often sent in collaboration with the Defense Logistics Agency (DLA), were not arriving on time, to the correct location, or with the correct contents. TYAD has an enduring culture of continuous improvement, and requested that the Lean Six Sigma process improvement methodology be applied to its MDM shipping process. Potential estimated financial benefits are $258,253.98 over the next three fiscal years.",
25,Technology roadmapping in the electric power sector: cases and tools,,,This paper will present cases of deploying technology roadmapping in the electric power sector ranging from state to national level. Technology roadmaps help organizations develop research and development plans to address their strategic goals. The cases will included demand response and power generation technology roadmaps deployed in the US Department of Energy and Electric Power Research Institute. The paper will present practical lesssonsand tools for engineering managers and theoretical findings for researchers. ,
26,Reducing the Risk of Excessive Completion Times for Lean Six Sigma Competency Office (LSSCO) Green Belt Projects ,,,"The U.S. Army Armament Research, Development, and Engineering Center (ARDEC) and the Program Executive Office Ammunition (PEO Ammo) are organizations located at Picatinny Arsenal, NJ. Each organization has employees who can obtain professional certifications in the Lean Six Sigma (LSS) methodology through the Lean Six Sigma Competency Office (LSSCO). Specific analysis was limited to the Green Belt (GB) projects that are presented for certification through the LSSCO.  These GB projects are intended to develop improvements in the areas of quality/customer satisfaction, cost, schedule, and risk for ARDEC/PEO Ammo. Their trainees are expected to complete their GB projects within 3-6 months. Consequently, the LSSCO is interested in developing an improved process whereby GB Candidates will have a better probability of completing their projects within the expected timeframe and reducing the risk of non-completion; this paper will discuss how LSS was utilized in developing an implementation plan for accomplishing this objective.",
27,A Multi Criteria Decision Analysis Approach to Risk Prioritization for System Acquisition and Development,,,"Abstract Risk management, especially risk prioritization is a very important Systems Engineering activity. However, all too often this function is neglected during the system acquisition and development process. Today risk matrices are the most popular tools used in the risk prioritization process. They are widely used both in the private sector and by government agencies to categorize and rank risks. Despite their popularity, risk matrices have major flaws.  When project risks are not well prioritized resources are spent to mitigate or eliminate risks that are less probable or less impactful to the success of the project, resulting in projects going over budget or delivered late and in some extreme cases project cancellation. Knowing the major risks to a project along with their likelihood of occurrence and potential impact will help project leaders make informed decisions on how to use project resources to either mitigate or eliminate a risk or in some cases simply accept the risk. In this study Multi Criteria Decision Analysis (MCDA) will be used to create a framework for project risk prioritization. Case studies will be presented using projects in three different domains to validate the framework. Multiple MCDA methods will be employed. Risk rankings from the different methods will be compared and analyzed. From that exercise and from analysis of the data, recommendations will be made as to which MCDA method is more appropriate depending on the characteristics of the data.",
28,A System Maturity Metric from An Operational Perspective,,,"Technology Readiness Level (TRL) has been used by NASA to identify the maturity of a particular technology and to compare with other technologies since 1980s. The approach has been adopted by many other government agencies such as Department of Defense and commercial entities as well. The widely use of TRL approach also triggered efforts to develop a similar metric to define the maturity of a system that is comprised of several technologies with varying TRLs. Currently available approaches address the system maturity either from a technical perspective or a cost perspective. In this paper, an approach is proposed to define system level maturity from an operational perspective by using the Functional Dependency Network Analysis. ",
29,Statistical Engineering: A Causal-Stochastic Modeling Research Update ,,,"In the ASEM-IAC 2012, Cotter (2012) summarized prior works that led to the proposal for statistical engineering, identified the gaps in knowledge that statistical engineering needs to address, explored additional gaps in knowledge not addressed in the prior works, set forth a working definition of and body of knowledge for statistical engineering, and set forth proposals of potential systems contributions the Engineering Management profession could make toward the development of statistical engineering.  In 2014, the ASQ Statistics Division, DOT&E, NASA, and IDA co-sponsored a Statistical Engineering Agreement to jointly research development of the discipline of statistical engineering.  A key gap in knowledge that must be addressed to realize Statistical Engineering as a discipline is integration of engineering specific deterministic causal models within stochastic models to provide additional knowledge of the risk of variance from expected response.  The statistics community has continued to frame statistical engineering within the context of the general linear model (GLM).  However, incorporating deterministic engineering causal models within the GLM framework leaves missing links of conditional dependencies, yields models that are difficult to fit or that may not converge to a unique solution, and may not increase the understanding of physical causal processes in dynamic stochastic systems.  This paper updates research into integrating deterministic engineering models as system dynamic causal components of Bayesian causal networks within a state-space framework to model joint causal-stochastic dynamic effects.",
30,A State of the Art Matrix Analysis on Multi-Project Management in Capstone Senior Design Courses ,,,"Multi-Project management can be challenging for organizations.  The complexity of this task increases considerably when dealing with a large variety of project types.  The school of Mechanical Industrial and Manufacturing Engineering (MIME) at Oregon State University (OSU) teaches a Capstone Senior Design Course aimed at preparing students for real world engineering problem solving through group collaboration.  In each class, there are approximately forty groups of three undergraduate engineers that work together and use engineering concepts to create processes and products.  The goal of these projects range from building a rocket to implementing lean tools.  The instructor, in charge of the course, manages all of these teams using a newly implemented website tool.  In order to improve this tool, and the class as a whole, the State-of-the-Art Matrix Analysis methodology will be used to break down, analyze and compare historical and modern ideas and practices of capstone classroom management.  This study will place special attention on literature containing classrooms with a large variety of projects as well as current technologies and the methods with which they are utilized.  Engineering managers concerned with multi-project management will find best practices and tools for analyzing and maintaining several projects at once.",
31,Development of the New Information System for the American Society for Engineering Management,,,"Successful businesses and organizations are generally driven by information and seamless, accurate processing of data and related organizational transactions.  In turn, this data is converted to information which can be used in a timely fashion by decision makers.  Typically these ""Enterprise Information Systems"" are driven by basic return on investment decisions and are an organizational imperative, necessary to compete in the global economy.  On the other hand, professional societies and non-profits have the same general needs as business enterprises but due to staffing, budget,and structure are frequently not able to easily identify and develop the needed information systems to foster success.  This presentation will describe how the ASEM Information Systems Committee has investigated, selected, and implemented the new society information system (Project Chrysalis).  It will describe application of systems engineering and decision methods to analyze the previous system and select the new platform.  Finally it develops a general model of data integration for professional societies.  The paper discusses the sources and uses of data, information reports, and data base compatibility issues which are often obstacles to systems integration.  The presentation provides an overview of the new ASEM  capabilities and encourages use of and feedback about the improved system capabilities.   ",
32,Exploring the Application of Agile Management Practices to Higher Education Institutions ,,,"Agile management practices are based on an iterative cycle that seeks to ensure design and development projects are delivered according to schedule and budgetary constraints while allowing flexibility to be applied to the project scope.  This approach has been developed in the software industry as an alternative to the traditional waterfall project management methodology and as an approach to accommodate the uncertainty that accompanies software development.  The agile methodology is focused on reducing administration and excessive planning through adopting lean practices and related areas include Scrum, Extreme Programming and DSDM (Dynamic Systems Development Method).  Agile is now being applied to areas beyond the IT sector and the question arises: Can agile management practices be applied to higher education institutions?  Universities are complex organisations undertaking research, education and translation activities supported by a range of administrative areas and professional services.  Universities also face a number of challenges, including financial pressures and funding constraints, increasing levels of competition and the introduction of new technologies.  Therefore, this paper will provide a review of agile management and examine how agile management can be applied to the operations of universities.  This will include exploration of a series of illustrative cases that will identify the pros and cons of applying agile management techniques at universities.  Following conclusions the paper will include a series of recommendations on the potential application of agile management practices to higher education institutions.",
33,Impact of Generation Source on National Residential Energy Cost ,,," As energy generation expands to meet the energy demanded by the public, energy policy makers must understand and anticipate the long term cost of investment in generation infrastructure. Energy sources have associated costs that pass through the generation utility to the consumer. These costs include, but are not limited to fuel, transportation, transmission, and overhead. This research focuses on the most prominent energy sources used in the United States, including coal, natural gas, oil, nuclear, renewables, and hydro. The supplementary costs of operation to the utility, and the inherent fixed cost of operation, were isolated for each energy source, as components of an end users unit energy cost. Using data on each states energy generation and demand, a regression analysis was performed to determine the impact of each generation source on the consumer rate, separated by state. The overall results of the regression analysis provide a national index which defines the expected cost of each energy source in a utilitys portfolio. This information can be used to identify value of new energy sources within an existing portfolio, or the decision to increase costs to a consumer to meet expected increase in portfolio costs.   ",
